time,swap,free
"01/08/14 17:04:04",121986420,59431952
"01/08/14 17:04:24",120903148,58682348
"01/08/14 17:04:44",118899156,57411100
"01/08/14 17:05:04",117516276,56591940
"01/08/14 17:05:24",117078872,56232204
"01/08/14 17:05:44",116570184,55790636
"01/08/14 17:06:04",116082456,55413884
"01/08/14 17:06:24",116034936,55378600
"01/08/14 17:06:44",115315308,54810576
"01/08/14 17:07:04",113589176,53866964
"01/08/14 17:07:24",112548232,53185504
"01/08/14 17:07:44",112558328,53127588
"01/08/14 17:08:04",111219960,52160068
"01/08/14 17:08:24",108706216,50523736
"01/08/14 17:08:44",106034592,48935932
"01/08/14 17:09:05",103803664,47595736
"01/08/14 17:09:25",102058680,46437176
"01/08/14 17:09:45",101617520,46061080
"01/08/14 17:10:05",101548400,45960060
"01/08/14 17:10:25",101388864,45946080
"01/08/14 17:10:45",101282292,45939704
"01/08/14 17:11:05",101250292,45891232
"01/08/14 17:11:25",101272184,45921920
"01/08/14 17:11:45",101168252,45846848
"01/08/14 17:12:05",101036552,45736332
"01/08/14 17:12:25",100940436,45686544
"01/08/14 17:12:45",100892704,45652048
"01/08/14 17:13:05",100913788,45667152
"01/08/14 17:13:25",100755732,45534512
"01/08/14 17:13:45",100664532,45467592
"01/08/14 17:14:06",100585104,45418100
"01/08/14 17:14:26",100568804,45368792
"01/08/14 17:14:46",100621080,45438628
"01/08/14 17:15:06",100401380,45253536
"01/08/14 17:15:26",100284400,45229532
"01/08/14 17:15:46",100131076,45124336
"01/08/14 17:16:06",100115560,45013672
"01/08/14 17:16:26",99948676,45029848
"01/08/14 17:16:46",99773824,44892964
"01/08/14 17:17:06",99629492,44836228
"01/08/14 17:17:26",99623728,44871944
"01/08/14 17:17:46",99455724,44685660
"01/08/14 17:18:06",99312088,44644596
"01/08/14 17:18:26",99301892,44597960
"01/08/14 17:18:46",99313072,44675632
"01/08/14 17:19:06",99439960,44739208
"01/08/14 17:19:26",102129756,46345772
"01/08/14 17:19:46",102022588,46219072
"01/08/14 17:20:06",101384864,45803032
"01/08/14 17:20:26",101381776,45796808
"01/08/14 17:20:46",101384488,45774636
"01/08/14 17:21:06",100857916,45581280
"01/08/14 17:21:26",100897924,45588832
"01/08/14 17:21:46",100835240,45489516
"01/08/14 17:22:06",100156720,44887432
"01/08/14 17:22:26",100154984,44829304
"01/08/14 17:22:46",100158184,44798044
"01/08/14 17:23:06",100163528,44793924
"01/08/14 17:23:26",100164188,44792012
"01/08/14 17:23:46",100140508,44766852
"01/08/14 17:24:06",100132436,44756976
"01/08/14 17:24:26",100133064,44756748
"01/08/14 17:24:46",100130948,44752536
"01/08/14 17:25:07",100135644,44748636
"01/08/14 17:25:27",100137220,44746056
"01/08/14 17:25:47",100141676,44752088
"01/08/14 17:26:07",100143596,44749860
"01/08/14 17:26:27",100139480,44749760
"01/08/14 17:26:47",100145636,44755412
"01/08/14 17:27:07",100147684,44755760
"01/08/14 17:27:27",100147704,44755496
"01/08/14 17:27:47",100152628,44755692
"01/08/14 17:28:07",100153860,44754768
"01/08/14 17:28:27",100162068,44762900
"01/08/14 17:28:47",100162068,44762832
"01/08/14 17:29:07",100126976,44766328
"01/08/14 17:29:27",100159308,44859796
"01/08/14 17:29:47",100172684,44829036
"01/08/14 17:30:07",100575880,45159368
"01/08/14 17:30:28",100278580,44938356
"01/08/14 17:30:49",100206976,44857876
"01/08/14 17:31:09",100216144,44855388
"01/08/14 17:31:29",100219180,44854336
"01/08/14 17:31:49",100219692,44842136
"01/08/14 17:32:09",100223636,44845528
"01/08/14 17:32:29",100223916,44844152
"01/08/14 17:32:49",100228784,44846240
"01/08/14 17:33:09",100231660,44844508
"01/08/14 17:33:29",100233276,44844396
"01/08/14 17:33:49",100231012,44843668
"01/08/14 17:34:09",100221128,44834356
"01/08/14 17:34:29",100208128,44822184
"01/08/14 17:34:49",100208100,44822304
"01/08/14 17:35:09",100210048,44824080
"01/08/14 17:35:29",100213808,44827092
"01/08/14 17:35:49",100213596,44823624
"01/08/14 17:36:09",100212544,44822648
"01/08/14 17:36:29",100214568,44824540
"01/08/14 17:36:50",100214512,44824428
"01/08/14 17:37:10",97940128,43607764
"01/08/14 17:37:30",97942284,43582260
"01/08/14 17:37:50",97920276,43537104
"01/08/14 17:38:10",97900224,43513096
"01/08/14 17:38:30",97634220,43252600
"01/08/14 17:38:50",97594888,43162568
"01/08/14 17:39:10",97599028,43167140
"01/08/14 17:39:30",97597096,43164536
"01/08/14 17:39:50",97597524,43152888
"01/08/14 17:40:10",97717020,43251632
"01/08/14 17:40:30",98516548,43776612
"01/08/14 17:40:50",98198232,43541640
"01/08/14 17:41:10",97638764,43169988
"01/08/14 17:41:30",97623932,43133016
"01/08/14 17:41:50",97618496,43121948
"01/08/14 17:42:10",97621196,43107472
"01/08/14 17:42:30",97816616,43214872
"01/08/14 17:42:50",97873644,43251748
"01/08/14 17:43:10",97878448,43251412
"01/08/14 17:43:30",97858476,43247640
"01/08/14 17:43:50",97859456,43234324
"01/08/14 17:44:10",97862312,43234332
"01/08/14 17:44:30",97861136,43231264
"01/08/14 17:44:50",97842656,43216608
"01/08/14 17:45:10",97813468,43179604
"01/08/14 17:45:30",97816532,43183292
"01/08/14 17:45:50",97817944,43173680
"01/08/14 17:46:10",97783168,43164504
"01/08/14 17:46:30",97788484,43170216
"01/08/14 17:46:50",97785252,43158264
"01/08/14 17:47:11",97790752,43139072
"01/08/14 17:47:31",97821324,43136076
"01/08/14 17:47:51",97703664,43011976
"01/08/14 17:48:11",97635836,42998464
"01/08/14 17:48:31",97614788,42999192
"01/08/14 17:48:51",99163132,44027028
"01/08/14 17:49:11",100072676,44594012
